id;invited_email;created_by;created_date;accepted;accepted_by;accepted_date;project_id
1;bedfordshire@localhost;Devan Kelley;2023-03-10T16:39:27;true;Bedfordshire Frozen;2023-03-12T14:45:37;1
2;corporate@localhost;Amelie Casey;2023-03-10T23:28:18;false;;;2
3;litauen@localhost;Asia Acevedo;2023-03-08T08:27:20;true;Litauen;2023-03-11T21:49:10;3
4;kolumbien@localhost;Caroline Jordan;2023-03-07T22:52:30;false;;;4
5;analyst@localhost;Shayla Davenport;2023-03-09T11:50:04;false;Analyst;2023-03-12T18:57:57;5
6;awesome@localhost;Dashawn Palmer;2023-03-06T03:22:51;true;;;6
7;services@localhost;Shayla Bell;2023-03-08T17:10:32;false;;;7
8;ball@localhost;Ashleigh Rocha;2023-03-07T08:08:27;true;Ball;2023-03-11T23:21:08;8
9;checking@localhost;Marco Conrad;2023-03-11T07:57:09;false;;;9
10;user-facing@localhost;Kolton Krueger;2023-03-06T05:03:57;true;user-facing transmitting withdrawal;2023-03-11T21:47:11;10
